Protocol,Compounds,InputFields,Iterations,NumPending,Hour,Day,Class,Timestamp,Normalized_Timestamp
b'E',233.0,861.0,10.0,0.0,17.7,4,b'VF',113.7,0.6819773841689183
b'E',29.0,25.0,20.0,0.0,9.95,3,b'VF',81.95,0.491343940758531
b'E',231.0,127.0,20.0,0.0,10.4833333333333,4,b'VF',106.4833333333333,0.6386470529370558
b'E',239.0,141.0,20.0,0.0,15.7333333333333,4,b'VF',111.7333333333333,0.6701691183828679
b'E',244.0,210.0,20.0,0.0,15.9166666666667,4,b'F',111.9166666666667,0.6712698889222458
b'E',231.0,221.0,20.0,0.0,11.3,4,b'VF',107.3,0.6435504853397378
b'E',234.0,32.0,20.0,0.0,11.3833333333333,4,b'VF',107.3833333333333,0.6440508355849092
b'E',250.0,19.0,20.0,0.0,11.4,4,b'VF',107.4,0.6441509056339438
b'E',249.0,31.0,20.0,0.0,11.4666666666667,4,b'VF',107.4666666666667,0.6445511858300812
b'E',250.0,95.0,20.0,0.0,10.7333333333333,4,b'VF',106.7333333333333,0.6401481036725706
b'E',256.0,69.0,10.0,0.0,14.6166666666667,4,b'VF',110.6166666666667,0.6634644250975685
b'E',25.0,15.0,20.0,0.0,16.3,4,b'VF',112.3,0.673571500050035
b'E',30.0,19.0,20.0,0.0,10.2166666666667,4,b'VF',106.2166666666667,0.6370459321525069
b'E',32.0,17.0,20.0,0.0,16.45,2,b'VF',64.45,0.3862703892724908
b'E',21.0,19.0,20.0,0.0,16.1,4,b'VF',112.1,0.6723706594616231
b'E',22.0,26.0,20.0,0.0,17.2333333333333,1,b'VF',41.2333333333333,0.24687281096767716
b'E',23.0,22.0,20.0,0.0,9.23333333333333,2,b'VF',57.233333333333334,0.34294005804062844
b'E',21.0,23.0,20.0,0.0,9.9,4,b'VF',105.9,0.6351446012208546
b'E',21.0,24.0,20.0,0.0,10.6666666666667,2,b'VF',58.6666666666667,0.3515460822575805
b'E',24.0,24.0,20.0,0.0,10.15,2,b'VF',58.15,0.34844391073751624
b'E',308.0,289.0,20.0,0.0,15.5,4,b'F',111.5,0.6687681376963874
b'E',303.0,299.0,20.0,0.0,16.0,4,b'F',112.0,0.6717702391674172
b'E',300.0,299.0,20.0,0.0,14.5,4,b'F',110.5,0.662763934754328
b'E',302.0,299.0,20.0,0.0,14.65,4,b'F',110.65,0.663664565195637
b'E',328.0,35.0,20.0,0.0,13.7833333333333,0,b'VF',13.7833333333333,0.0820574402081455
b'E',35.0,33.0,20.0,0.0,13.8833333333333,1,b'VF',37.8833333333333,0.22675873111177802
b'E',39.0,35.0,20.0,0.0,10.65,1,b'VF',34.65,0.20734514159911935
b'E',410.0,33.0,20.0,0.0,10.55,3,b'VF',82.55,0.4949464625237666
b'E',55.0,48.0,20.0,0.0,10.4666666666667,4,b'VF',106.4666666666667,0.6385469828880218
b'E',50.0,45.0,20.0,0.0,11.95,4,b'VF',107.95,0.6474532172520765
b'E',47.0,43.0,20.0,0.0,12.2166666666667,4,b'VF',108.2166666666667,0.6490543380366258
b'E',498.0,141.0,20.0,0.0,13.9333333333333,1,b'F',37.9333333333333,0.22705894125888101
b'E',50.0,38.0,20.0,0.0,10.2833333333333,4,b'VF',106.2833333333333,0.6374462123486438
b'E',50.0,45.0,20.0,0.0,16.3333333333333,4,b'VF',112.3333333333333,0.6737716401481034
b'E',46.0,42.0,20.0,0.0,10.0666666666667,4,b'VF',106.0666666666667,0.6361453017111981
b'E',54.0,47.0,20.0,0.0,16.1833333333333,2,b'VF',64.18333333333331,0.3846692684879414
b'E',49.0,44.0,20.0,0.0,16.1333333333333,4,b'VF',112.1333333333333,0.6725707995596916
b'E',48.0,50.0,20.0,0.0,16.5833333333333,4,b'VF',112.5833333333333,0.6752726908836183
b'E',52.0,51.0,20.0,0.0,17.25,1,b'VF',41.25,0.24697288101671167
b'E',60.0,45.0,20.0,0.0,13.1333333333333,2,b'VF',61.1333333333333,0.36635644951466
b'E',563.0,155.0,20.0,0.0,13.5166666666667,0,b'F',13.5166666666667,0.08045631942359671
b'E',61.0,53.0,20.0,0.0,11.5833333333333,1,b'VF',35.5833333333333,0.21294906434504132
b'E',65.0,60.0,20.0,0.0,9.35,2,b'VF',57.35,0.3436405483838687
b'E',69.0,62.0,20.0,0.0,15.15,2,b'VF',63.15,0.3784649254478134
b'E',70.0,60.0,20.0,0.0,10.0833333333333,0,b'VF',10.0833333333333,0.059841889322525564
b'E',63.0,71.0,20.0,0.0,14.1166666666667,2,b'VF',62.1166666666667,0.37226058240768556
b'E',74.0,70.0,20.0,0.0,21.65,2,b'VF',69.65,0.4174922445711999
b'E',77.0,70.0,50.0,0.0,13.1333333333333,3,b'VF',85.1333333333333,0.5104573201240866
b'E',789.0,30.0,20.0,0.0,21.6666666666667,1,b'VF',45.6666666666667,0.2734914440108077
b'E',790.0,779.0,20.0,0.0,18.1833333333333,2,b'M',66.18333333333331,0.3966776743720603
b'E',775.0,784.0,20.0,0.0,14.0833333333333,4,b'M',110.0833333333333,0.6602621835284698
b'E',785.0,780.0,20.0,0.0,14.4166666666667,4,b'M',110.4166666666667,0.6622635845091566
b'E',787.0,778.0,20.0,0.0,14.2,4,b'M',110.2,0.6609626738717103
b'E',779.0,786.0,20.0,0.0,14.4666666666667,4,b'M',110.4666666666667,0.6625637946562596
b'E',76.0,77.0,20.0,0.0,10.8166666666667,1,b'VF',34.8166666666667,0.2083458420894628
b'E',891.0,15.0,20.0,0.0,17.45,1,b'VF',41.45,0.24817372160512358
b'E',894.0,207.0,20.0,0.0,17.55,1,b'F',41.55,0.2487741418993295
b'E',883.0,269.0,20.0,0.0,17.55,1,b'F',41.55,0.2487741418993295
b'E',885.0,52.0,20.0,0.0,17.5833333333333,1,b'F',41.5833333333333,0.24897428199739796
b'E',20.0,10.0,20.0,0.0,11.2166666666667,1,b'VF',35.2166666666667,0.21074752326628657
b'E',20.0,10.0,20.0,0.0,13.2166666666667,1,b'VF',37.2166666666667,0.22275592915040546
b'E',20.0,10.0,20.0,0.0,13.7666666666667,1,b'VF',37.7666666666667,0.22605824076853817
b'A',120.0,338.0,20.0,3340.0,13.25,0,b'F',13.25,0.07885519863904733
b'A',130.0,397.0,20.0,160.0,16.8,4,b'F',112.8,0.6765736015210647
b'A',129.0,373.0,20.0,118.0,10.6666666666667,0,b'F',10.6666666666667,0.0633443410387273
b'A',141.0,373.0,20.0,92.0,9.43333333333333,0,b'VF',9.43333333333333,0.0559391574101871
b'A',134.0,113.0,20.0,0.0,9.56666666666667,0,b'VF',9.56666666666667,0.05673971780246174
b'A',135.0,165.0,20.0,281.0,9.51666666666667,0,b'VF',9.51666666666667,0.05643950765535876
b'A',130.0,311.0,20.0,112.0,9.48333333333333,0,b'VF',9.48333333333333,0.05623936755729008
b'A',135.0,369.0,20.0,160.0,9.51666666666667,0,b'VF',9.51666666666667,0.05643950765535876
b'A',139.0,22.0,20.0,82.0,9.53333333333333,0,b'VF',9.53333333333333,0.056539577704393044
b'A',152.0,392.0,10.0,1.0,15.1666666666667,2,b'VF',63.1666666666667,0.37856499549684797
b'A',157.0,397.0,10.0,1.0,10.45,3,b'VF',82.45,0.4943460422295607
b'A',153.0,392.0,10.0,0.0,15.7333333333333,4,b'F',111.7333333333333,0.6701691183828679
b'A',161.0,497.0,100.0,0.0,13.65,4,b'M',109.65,0.6576603622535775
b'A',184.0,533.0,20.0,86.0,16.7333333333333,4,b'F',112.73333333333329,0.6761733213249272
b'A',205.0,38.0,20.0,8.0,11.4666666666667,0,b'VF',11.4666666666667,0.06814770339237486
b'A',215.0,600.0,20.0,0.0,17.4666666666667,0,b'VF',17.4666666666667,0.10417292104473151
b'A',204.0,605.0,20.0,0.0,17.9166666666667,0,b'VF',17.9166666666667,0.10687481236865826
b'A',216.0,604.0,20.0,0.0,15.2,1,b'F',39.2,0.23466426498548984
b'A',228.0,610.0,20.0,0.0,15.2333333333333,1,b'F',39.2333333333333,0.23486440508355827
b'A',213.0,651.0,20.0,0.0,14.9333333333333,1,b'F',38.9333333333333,0.23306314420094046
b'A',227.0,650.0,20.0,0.0,14.9333333333333,1,b'F',38.9333333333333,0.23306314420094046
b'A',228.0,538.0,20.0,0.0,14.9333333333333,1,b'F',38.9333333333333,0.23306314420094046
b'A',220.0,541.0,20.0,0.0,11.4833333333333,1,b'F',35.4833333333333,0.21234864405083537
b'A',230.0,544.0,20.0,0.0,14.9333333333333,1,b'F',38.9333333333333,0.23306314420094046
b'A',223.0,619.0,20.0,0.0,15.2666666666667,1,b'F',39.2666666666667,0.23506454518162734
b'A',223.0,624.0,20.0,0.0,15.25,1,b'F',39.25,0.2349644751325928
b'A',226.0,654.0,20.0,0.0,18.1833333333333,4,b'F',114.18333333333331,0.6848794155909135
b'A',229.0,652.0,20.0,0.0,9.7,0,b'VF',9.7,0.057540278194736304
b'A',226.0,651.0,20.0,0.0,16.6166666666667,4,b'F',112.6166666666667,0.6754728309816874
b'A',221.0,661.0,20.0,49.0,13.8166666666667,1,b'F',37.8166666666667,0.2263584509156411
b'A',236.0,666.0,20.0,0.0,14.1333333333333,1,b'VF',38.1333333333333,0.22825978184729287
b'A',237.0,532.0,200.0,0.0,18.15,4,b'M',114.15,0.684679275492845
b'A',237.0,635.0,20.0,0.0,7.91666666666667,0,b'F',7.91666666666667,0.04683278294806366
b'A',231.0,690.0,20.0,11.0,14.8666666666667,1,b'VF',38.8666666666667,0.23266286400480357
b'A',233.0,699.0,20.0,0.0,15.0333333333333,1,b'VF',39.0333333333333,0.23366356449514641
b'A',252.0,699.0,20.0,0.0,11.6166666666667,0,b'VF',11.6166666666667,0.06904833383368376
b'A',31.0,79.0,20.0,0.0,10.2,2,b'VF',58.2,0.3487441208846192
b'A',27.0,74.0,20.0,0.0,10.45,2,b'VF',58.45,0.3502451716201341
b'A',29.0,76.0,20.0,0.0,14.0666666666667,2,b'VF',62.0666666666667,0.3719603722605826
b'A',273.0,537.0,200.0,0.0,17.0333333333333,2,b'L',65.0333333333333,0.3897728409886919
b'A',286.0,534.0,200.0,0.0,18.1,4,b'L',114.1,0.684379065345742
b'A',326.0,895.0,20.0,21.0,15.15,4,b'F',111.15,0.6666666666666667
b'A',3400.0,4638.0,20.0,0.0,21.9166666666667,0,b'L',21.9166666666667,0.130891624136896
b'A',3404.0,2574.0,20.0,0.0,20.4,3,b'L',92.4,0.5540878615030522
b'A',3405.0,2082.0,20.0,0.0,10.8666666666667,4,b'L',106.8666666666667,0.6409486640648456
b'A',3397.0,4470.0,20.0,0.0,21.5166666666667,0,b'L',21.5166666666667,0.12848994296007224
b'A',3398.0,4467.0,20.0,0.0,0.883333333333333,2,b'L',48.88333333333333,0.2928049634744321
b'A',3496.0,977.0,20.0,0.0,7.5,3,b'L',79.5,0.4766336435504853
b'A',3483.0,985.0,20.0,0.0,7.33333333333333,3,b'L',79.33333333333333,0.4756329430601421
b'A',3493.0,1158.0,20.0,0.0,7.98333333333333,3,b'L',79.98333333333333,0.47953567497248073
b'A',3498.0,623.0,20.0,0.0,11.6,2,b'L',59.6,0.3571500050035024
b'A',3484.0,462.0,20.0,0.0,11.5833333333333,2,b'L',59.5833333333333,0.3570499349544679
b'A',3667.0,431.0,20.0,0.0,8.35,1,b'L',32.35,0.19353547483238265
b'A',3680.0,431.0,20.0,0.0,12.95,2,b'L',60.95,0.36525567897528266
b'A',370.0,774.0,50.0,0.0,11.4,4,b'M',107.4,0.6441509056339438
b'A',3744.0,191.0,20.0,1.0,14.65,2,b'F',62.65,0.3754628239767837
b'A',3768.0,248.0,20.0,0.0,9.61666666666667,2,b'M',57.616666666666674,0.3452416691684179
b'A',3768.0,247.0,20.0,0.0,10.5666666666667,2,b'M',58.5666666666667,0.3509456619633745
b'A',400.0,1180.0,20.0,0.0,5.58333333333333,2,b'M',53.58333333333333,0.3210247173021114
b'A',404.0,1186.0,20.0,0.0,5.45,1,b'M',29.45,0.17612328630041027
b'A',406.0,94.0,20.0,0.0,11.6,3,b'VF',83.6,0.501250875612929
b'A',405.0,1186.0,20.0,0.0,6.26666666666667,0,b'M',6.26666666666667,0.03692584809366558
b'A',395.0,92.0,20.0,0.0,12.2666666666667,3,b'VF',84.2666666666667,0.5052536775743022
b'A',407.0,1197.0,20.0,0.0,10.2166666666667,1,b'M',34.2166666666667,0.20474332032422712
b'A',413.0,921.0,20.0,24.0,9.01666666666667,1,b'F',33.016666666666666,0.1975382767937556
b'A',410.0,66.0,20.0,3.0,12.3333333333333,3,b'M',84.3333333333333,0.5056539577704391
b'A',415.0,83.0,20.0,0.0,20.3666666666667,0,b'VF',20.3666666666667,0.12158510957670388
b'A',413.0,412.0,20.0,0.0,10.6166666666667,4,b'M',106.6166666666667,0.6394476133293308
b'A',412.0,416.0,20.0,0.0,4.86666666666667,0,b'M',4.86666666666667,0.02851996397478236
b'A',413.0,51.0,20.0,0.0,5.33333333333333,0,b'VF',5.33333333333333,0.0313219253477434
b'A',411.0,63.0,20.0,0.0,5.16666666666667,0,b'VF',5.16666666666667,0.030321224857400193
b'A',422.0,934.0,20.0,0.0,10.5,4,b'M',106.5,0.6387471229860903
b'A',423.0,953.0,20.0,0.0,10.55,4,b'M',106.55,0.6390473331331932
b'A',424.0,166.0,20.0,0.0,9.06666666666667,4,b'VF',105.06666666666666,0.6301410987691384
b'A',417.0,195.0,20.0,0.0,10.5333333333333,4,b'F',106.5333333333333,0.6389472630841587
b'A',417.0,234.0,20.0,0.0,10.4666666666667,4,b'F',106.4666666666667,0.6385469828880218
b'A',420.0,26.0,20.0,0.0,10.3666666666667,4,b'VF',106.3666666666667,0.6379465625938159
b'A',425.0,53.0,20.0,0.0,10.6166666666667,4,b'VF',106.6166666666667,0.6394476133293308
b'A',424.0,213.0,20.0,0.0,6.78333333333333,2,b'F',54.78333333333333,0.32822976083258276
b'A',4505.0,155.0,20.0,6.0,16.5833333333333,2,b'F',64.5833333333333,0.38707094966476513
b'A',461.0,684.0,20.0,0.0,14.85,1,b'M',38.85,0.23256279395576904
b'A',457.0,689.0,20.0,0.0,14.05,1,b'M',38.05,0.22775943160212145
b'A',458.0,179.0,10.0,3.0,10.7333333333333,1,b'F',34.7333333333333,0.20784549184429077
b'A',460.0,185.0,10.0,3.0,10.9,1,b'F',34.9,0.20884619233463422
b'A',455.0,184.0,10.0,3.0,14.4666666666667,3,b'M',86.4666666666667,0.5184629240468329
b'A',468.0,306.0,20.0,0.0,19.3333333333333,0,b'VF',19.3333333333333,0.11538076653657539
b'A',471.0,440.0,20.0,23.0,15.6666666666667,2,b'VF',63.6666666666667,0.38156709696787766
b'A',467.0,663.0,20.0,22.0,19.6833333333333,0,b'F',19.6833333333333,0.11748223756629621
b'A',529.0,744.0,20.0,21.0,18.3833333333333,3,b'F',90.3833333333333,0.5419793855698987
b'A',533.0,576.0,20.0,0.0,14.0,1,b'F',38.0,0.22745922145501848
b'A',529.0,615.0,20.0,0.0,7.66666666666667,4,b'F',103.66666666666667,0.6217352146502552
b'A',52.0,171.0,20.0,0.0,6.2,0,b'VF',6.2,0.03652556789752827
b'A',69.0,201.0,20.0,0.0,15.8666666666667,2,b'VF',63.8666666666667,0.3827679375562896
b'A',877.0,865.0,20.0,17.0,14.8,0,b'F',14.8,0.08816171319923946
b'C',99.0,938.0,20.0,0.0,17.9333333333333,3,b'VF',89.93333333333331,0.539277494245972
b'C',1056.0,2783.0,10.0,0.0,5.8,3,b'VF',77.8,0.46642649854898427
b'C',1068.0,2781.0,20.0,0.0,13.7333333333333,2,b'VF',61.7333333333333,0.3699589712798957
b'C',1063.0,4775.0,10.0,0.0,14.25,0,b'VF',14.25,0.08485940158110676
b'C',1057.0,1837.0,10.0,0.0,5.38333333333333,4,b'VF',101.38333333333333,0.6080256179325527
b'C',106.0,3357.0,20.0,0.0,12.5333333333333,0,b'VF',12.5333333333333,0.07455218653057119
b'C',114.0,3359.0,20.0,0.0,14.0166666666667,0,b'VF',14.0166666666667,0.08345842089462642
b'C',113.0,6204.0,20.0,0.0,13.2166666666667,0,b'VF',13.2166666666667,0.07865505854097889
b'C',131.0,6056.0,20.0,0.0,17.1666666666667,1,b'VF',41.1666666666667,0.24647253077154027
b'C',129.0,2417.0,20.0,0.0,12.7,4,b'VF',108.7,0.651956369458621
b'C',143.0,2504.0,20.0,0.0,17.4,3,b'VF',89.4,0.5360752526768738
b'C',142.0,6537.0,20.0,0.0,16.7666666666667,4,b'VF',112.76666666666671,0.6763734614229964
b'C',141.0,1200.0,20.0,0.0,19.45,3,b'VF',91.45,0.5483838687080956
b'C',133.0,1203.0,20.0,0.0,19.4,3,b'VF',91.4,0.5480836585609927
b'C',143.0,6644.0,20.0,0.0,10.65,0,b'VF',10.65,0.06324427098969278
b'C',141.0,6661.0,20.0,0.0,9.4,0,b'VF',9.4,0.05573901731211848
b'C',138.0,777.0,20.0,0.0,9.56666666666667,0,b'VF',9.56666666666667,0.05673971780246174
b'C',130.0,1075.0,20.0,0.0,9.5,0,b'VF',9.5,0.05633943760632442
b'C',136.0,2520.0,20.0,0.0,9.5,0,b'VF',9.5,0.05633943760632442
b'C',135.0,2797.0,20.0,0.0,9.46666666666667,0,b'VF',9.46666666666667,0.056139297508255796
b'C',142.0,142.0,20.0,0.0,9.51666666666667,0,b'VF',9.51666666666667,0.05643950765535876
b'C',1408.0,2755.0,10.0,0.0,10.9333333333333,2,b'VF',58.9333333333333,0.35314720304212927
b'C',1409.0,2759.0,10.0,0.0,12.7666666666667,2,b'VF',60.7666666666667,0.3641549084359053
b'C',1410.0,2761.0,10.0,0.0,10.15,2,b'F',58.15,0.34844391073751624
b'C',147.0,10521.0,20.0,0.0,7.95,4,b'VF',103.95,0.6234364054838387
b'C',155.0,2001.0,20.0,0.0,13.7666666666667,2,b'VF',61.7666666666667,0.37015911137796476
b'C',152.0,10656.0,20.0,0.0,12.95,2,b'VF',60.95,0.36525567897528266
b'C',148.0,1538.0,20.0,0.0,13.2166666666667,2,b'VF',61.2166666666667,0.36685679975983204
b'C',143.0,3664.0,20.0,0.0,18.2166666666667,1,b'VF',42.2166666666667,0.25277694386070265
b'C',152.0,3696.0,20.0,0.0,18.5166666666667,1,b'VF',42.5166666666667,0.2545782047433205
b'C',156.0,6060.0,20.0,0.0,17.4666666666667,1,b'VF',41.4666666666667,0.24827379165415808
b'C',162.0,3656.0,20.0,0.0,18.4333333333333,1,b'VF',42.4333333333333,0.2540778544981485
b'C',170.0,3637.0,20.0,0.0,17.3333333333333,1,b'VF',41.3333333333333,0.2474732312618831
b'C',165.0,7580.0,100.0,0.0,13.5333333333333,4,b'F',109.5333333333333,0.656959871910337
b'C',173.0,737.0,20.0,0.0,1.4,3,b'VF',73.4,0.4400080056039228
b'C',177.0,8016.0,20.0,0.0,16.7166666666667,4,b'VF',112.7166666666667,0.6760732512758933
b'C',193.0,262.0,20.0,0.0,11.45,0,b'VF',11.45,0.06804763334334032
b'C',208.0,7061.0,20.0,0.0,17.6,0,b'VF',17.6,0.1049734814370059
b'C',215.0,1116.0,20.0,0.0,17.7,4,b'VF',113.7,0.6819773841689183
b'C',221.0,15420.0,20.0,0.0,13.45,1,b'VF',37.45,0.22415690983688583
b'C',218.0,15415.0,20.0,0.0,13.45,1,b'VF',37.45,0.22415690983688583
b'C',226.0,19876.0,20.0,0.0,15.2,1,b'VF',39.2,0.23466426498548984
b'C',226.0,3659.0,20.0,0.0,14.4166666666667,1,b'VF',38.4166666666667,0.22996097268087679
b'C',223.0,8378.0,20.0,0.0,15.2333333333333,1,b'VF',39.2333333333333,0.23486440508355827
b'C',224.0,7199.0,20.0,0.0,9.71666666666667,0,b'VF',9.71666666666667,0.05764034824377066
b'C',227.0,7778.0,20.0,0.0,14.15,1,b'VF',38.15,0.2283598518963274
b'C',232.0,8081.0,20.0,0.0,16.5833333333333,4,b'VF',112.5833333333333,0.6752726908836183
b'C',236.0,9379.0,20.0,0.0,13.8,1,b'VF',37.8,0.2262583808666066
b'C',234.0,3643.0,200.0,0.0,17.7833333333333,4,b'F',113.7833333333333,0.6824777344140897
b'C',229.0,7743.0,20.0,0.0,15.0166666666667,1,b'VF',39.0166666666667,0.23356349444611246
b'C',240.0,4599.0,20.0,0.0,7.86666666666667,0,b'VF',7.86666666666667,0.04653257280096069
b'C',239.0,5215.0,20.0,0.0,13.6166666666667,2,b'VF',61.6166666666667,0.36925848093665586
b'C',240.0,6702.0,20.0,0.0,18.1166666666667,4,b'VF',114.1166666666667,0.6844791353947766
b'C',234.0,7118.0,20.0,0.0,11.5833333333333,0,b'VF',11.5833333333333,0.06884819373561472
b'C',241.0,8801.0,20.0,0.0,14.85,1,b'VF',38.85,0.23256279395576904
b'C',247.0,7602.0,20.0,0.0,12.4,4,b'VF',108.4,0.6501551085760032
b'C',263.0,9155.0,20.0,0.0,11.7333333333333,2,b'VF',59.7333333333333,0.3579505653957768
b'C',2715.0,2564.0,20.0,0.0,0.1,3,b'M',72.1,0.43220254177924544
b'C',269.0,9235.0,20.0,0.0,13.9666666666667,2,b'VF',61.9666666666667,0.3713599519663766
b'C',24.0,2621.0,20.0,0.0,10.45,2,b'VF',58.45,0.3502451716201341
b'C',35.0,2644.0,20.0,0.0,14.0,2,b'VF',62.0,0.37156009206444507
b'C',279.0,3676.0,200.0,0.0,16.5666666666667,2,b'F',64.56666666666669,0.3869708796157312
b'C',284.0,3659.0,200.0,0.0,17.6,4,b'F',113.6,0.6813769638747122
b'C',305.0,9456.0,20.0,0.0,16.1333333333333,2,b'VF',64.1333333333333,0.3843690583408384
b'C',305.0,9464.0,20.0,0.0,16.2666666666667,2,b'VF',64.26666666666671,0.38516961873311345
b'C',315.0,3564.0,20.0,0.0,13.3166666666667,0,b'VF',13.3166666666667,0.07925547883518483
b'C',26.0,3795.0,100.0,0.0,16.15,1,b'F',40.15,0.2403682577804463
b'C',33.0,4004.0,100.0,0.0,10.8666666666667,1,b'F',34.8666666666667,0.2086460522365658
b'C',338.0,6519.0,20.0,0.0,15.1333333333333,4,b'VF',111.1333333333333,0.6665665966176321
b'C',31.0,2736.0,20.0,0.0,13.4333333333333,1,b'VF',37.4333333333333,0.2240568397878513
b'C',40.0,1182.0,20.0,0.0,9.75,1,b'VF',33.75,0.20194135895126586
b'C',3669.0,2957.0,20.0,0.0,7.45,1,b'M',31.45,0.18813169218452916
b'C',3685.0,2961.0,20.0,0.0,12.0,2,b'M',60.0,0.3595516861803262
b'C',3694.0,13957.0,20.0,0.0,13.9166666666667,0,b'L',13.9166666666667,0.08285800060042048
b'C',376.0,5817.0,50.0,0.0,11.0166666666667,4,b'F',107.0166666666667,0.6418492945061545
b'C',370.0,2495.0,20.0,0.0,11.25,2,b'VF',59.25,0.3550485339737816
b'C',3731.0,1303.0,20.0,0.0,14.7666666666667,2,b'M',62.7666666666667,0.3761633143200242
b'C',3751.0,743.0,20.0,0.0,10.5166666666667,0,b'F',10.5166666666667,0.062443710597418385
b'C',3753.0,1118.0,20.0,0.0,6.28333333333333,1,b'M',30.28333333333333,0.18112678875212646
b'C',3748.0,13343.0,20.0,0.0,20.0666666666667,0,b'L',20.0666666666667,0.11978384869408604
b'C',3750.0,2283.0,20.0,0.0,5.65,0,b'M',5.65,0.033223256279395576
b'C',3746.0,3636.0,20.0,0.0,7.71666666666667,0,b'M',7.71666666666667,0.045631942359651775
b'C',3742.0,11601.0,20.0,0.0,12.5666666666667,1,b'L',36.5666666666667,0.21885319723806682
b'C',3752.0,2760.0,20.0,0.0,11.3666666666667,1,b'M',35.3666666666667,0.21164815370759552
b'C',3753.0,13343.0,20.0,0.0,6.95,0,b'L',6.95,0.041028720104072845
b'C',3749.0,1821.0,20.0,0.0,12.05,1,b'M',36.05,0.21575102571800256
b'C',3745.0,2016.0,20.0,0.0,6.4,1,b'M',30.4,0.18182727909536672
b'C',3753.0,7460.0,20.0,0.0,7.65,1,b'L',31.65,0.18933253277294104
b'C',3748.0,4742.0,20.0,0.0,5.26666666666667,0,b'L',5.26666666666667,0.030921645151606142
b'C',3749.0,11576.0,20.0,0.0,13.3,1,b'L',37.3,0.22325627939557688
b'C',3748.0,2383.0,20.0,0.0,4.98333333333333,1,b'M',28.98333333333333,0.17332132492744917
b'C',3745.0,15916.0,20.0,0.0,6.75,0,b'L',6.75,0.039827879515660955
